,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,scored_by,assisted_by,cards_home_team,cards_away_team,corners_home_team,corners_away_team,shoton_home_team,shoton_away_team,shotoff_home_team,shotoff_away_team,cross_home_team,cross_away_team,possession_home_team,possession_away_team
123,1729,2011/2012,18,2011-12-26 00:00:00,1025092,10260,8528,5,0,30802;27430;27430;35327;27430,32569;24156;35327;34944,2,2,10,2,4,5,10,4,26,7,61,39
124,1729,2011/2012,19,2011-12-31 00:00:00,1025144,10260,8655,2,3,24160;24160;27430;27430;202180,38994;35327,2,2,17,3,13,2,16,5,51,4,50,50
125,1729,2011/2012,2,2011-08-22 00:00:00,1024308,10260,8586,3,0,113836;40961;30829,160713;113836;24154,1,2,11,3,17,11,8,8,28,9,50,50
126,1729,2011/2012,20,2012-01-04 00:00:00,1025212,10261,10260,3,0,35411;26160,24225,1,2,3,4,4,6,4,2,14,18,50,50
127,1729,2011/2012,21,2012-01-14 00:00:00,1025255,10260,8559,3,0,30373;113836;34944,30829;30829;24154,0,1,11,3,8,6,12,6,22,9,50,50
128,1729,2011/2012,22,2012-01-22 00:00:00,1025274,9825,10260,1,2,35327;30843;113836,24154;196386;35327,5,2,0,5,6,4,7,5,15,17,50,50
129,1729,2011/2012,23,2012-01-31 00:00:00,1025410,10260,10194,2,0,70409;27430,,1,3,9,2,10,4,4,5,17,12,50,50
130,1729,2011/2012,24,2012-02-05 00:00:00,1025473,8455,10260,3,3,41468;52133;30829;30829;70409,30853;41468;24154,2,1,6,6,6,9,11,4,15,20,50,50
131,1729,2011/2012,25,2012-02-11 00:00:00,1025531,10260,8650,2,1,30829;30829;40636,24154;35327;39109,1,1,4,3,4,4,5,4,9,12,51,49
132,1729,2011/2012,26,2012-02-26 00:00:00,1025582,9850,10260,1,2,30373;24698;24154,40945;33076;23354,1,2,4,4,7,7,7,3,23,23,52,48
133,1729,2011/2012,27,2012-03-04 00:00:00,1025653,8586,10260,1,3,30829;23354;23354;30348,23354;40945;32569,1,2,7,3,7,2,9,1,25,10,50,50
134,1729,2011/2012,28,2012-03-11 00:00:00,1025699,10260,8659,2,0,30829;30829,70409,0,2,8,5,9,3,10,3,20,10,50,50
135,1729,2011/2012,29,2012-03-18 00:00:00,1025765,8602,10260,0,5,43248;35327;113836;70409;70409,34944;30829;35327;38994;35327,2,1,4,7,3,10,2,8,13,18,50,50
136,1729,2011/2012,3,2011-08-28 00:00:00,1024348,10260,9825,8,2,113836;23354;30829;31013;30829;40945;30802;30843;30829;23354,40961;23354;31435;23354;30829;23354;214685;24154,2,4,3,5,7,8,9,6,14,13,59,41
137,1729,2011/2012,30,2012-03-26 00:00:00,1025790,10260,9879,1,0,30829,43248,1,0,7,1,15,5,3,1,22,6,60,40
138,1729,2011/2012,31,2012-04-02 00:00:00,1025820,8655,10260,0,2,35327;23354,38994;35327,1,1,2,10,7,8,5,6,15,37,50,50
139,1729,2011/2012,32,2012-04-08 00:00:00,1025884,10260,10172,2,0,30829;30373,38994,1,1,11,5,15,3,14,6,29,7,50,50
140,1729,2011/2012,33,2012-04-11 00:00:00,1025942,8528,10260,1,0,41061,38254,1,2,7,3,8,3,4,6,8,16,53,47
141,1729,2011/2012,34,2012-04-15 00:00:00,1025969,10260,10252,4,0,30829;113836;30829;40945,32569;35327;43248,3,3,11,4,11,2,10,7,17,6,50,50
142,1729,2011/2012,35,2012-04-22 00:00:00,1026031,10260,8668,4,4,8922;30829;113836;40945;39618;30829;8922;36012,24023;40945;40945;113836;24023;113836;39618,1,2,5,2,8,6,10,7,32,11,54,46
143,1729,2011/2012,36,2012-04-30 00:00:00,1026062,8456,10260,1,0,39027,37459,3,2,8,8,4,4,10,3,22,19,50,50
144,1729,2011/2012,37,2012-05-06 00:00:00,1026135,10260,10003,2,0,30373;23354,34944;30829,1,0,16,3,16,7,10,4,41,9,54,46
145,1729,2011/2012,38,2012-05-13 00:00:00,1026188,8472,10260,0,1,30829,186137,3,3,1,9,4,9,4,8,11,20,50,50
146,1729,2011/2012,4,2011-09-10 00:00:00,1024401,8559,10260,0,5,70409;30829;30829;70409;30829,40945;186137;186137;34944;40945,2,0,5,7,8,6,10,4,25,18,43,57
147,1729,2011/2012,5,2011-09-18 00:00:00,1024452,10260,8455,3,1,165823;40945;30829;30853,23354;43248;40945;37804,2,3,5,10,4,8,6,13,18,24,50,50
148,1729,2011/2012,6,2011-09-24 00:00:00,1024506,10194,10260,1,1,40945;30830,24148;24773,1,0,8,8,8,7,4,6,31,17,50,50
149,1729,2011/2012,7,2011-10-01 00:00:00,1024542,10260,9850,2,0,40961;113836,30829;30802,1,0,10,3,7,5,12,8,33,11,50,50
